dataset,video,n_frames,event_id,onset,duration
CDnet2014,twoPositionPTZCam,1500,19,1612,1
CDnet2014,twoPositionPTZCam,1500,20,1615,1
CDnet2014,twoPositionPTZCam,1500,21,1617,5
CDnet2014,twoPositionPTZCam,1500,22,1624,8
CDnet2014,twoPositionPTZCam,1500,23,1644,1
CDnet2014,twoPositionPTZCam,1500,24,1647,1
CDnet2014,twoPositionPTZCam,1500,25,1650,1
CDnet2014,twoPositionPTZCam,1500,26,1652,9
CDnet2014,twoPositionPTZCam,1500,27,1666,1
CDnet2014,twoPositionPTZCam,1500,28,1670,4
CDnet2014,twoPositionPTZCam,1500,29,1706,32
CDnet2014,twoPositionPTZCam,1500,30,1787,1
CDnet2014,twoPositionPTZCam,1500,31,1808,5
CDnet2014,twoPositionPTZCam,1500,32,1815,4
CDnet2014,twoPositionPTZCam,1500,33,1820,1
CDnet2014,twoPositionPTZCam,1500,34,1822,2
CDnet2014,twoPositionPTZCam,1500,35,1831,5
CDnet2014,twoPositionPTZCam,1500,36,1837,81
CDnet2014,twoPositionPTZCam,1500,37,1949,241
CDnet2014,twoPositionPTZCam,1500,38,2202,1
CDnet2014,twoPositionPTZCam,1500,39,2204,57
CDnet2014,twoPositionPTZCam,1500,40,2262,30
CDnet2014,twoPositionPTZCam,1500,41,2294,6
CDnet2014,zoomInZoomOut,630,0,500,127
CDnet2014,zoomInZoomOut,630,1,628,2
CDnet2014,zoomInZoomOut,630,2,631,2
CDnet2014,zoomInZoomOut,630,3,634,18
CDnet2014,zoomInZoomOut,630,4,659,11
CDnet2014,zoomInZoomOut,630,5,671,1
CDnet2014,zoomInZoomOut,630,6,673,1
CDnet2014,zoomInZoomOut,630,7,675,331
CDnet2014,zoomInZoomOut,630,8,1012,2
CDnet2014,zoomInZoomOut,630,9,1015,5
CDnet2014,zoomInZoomOut,630,10,1022,15
CDnet2014,zoomInZoomOut,630,11,1038,2
CDnet2014,zoomInZoomOut,630,12,1041,2
CDnet2014,zoomInZoomOut,630,13,1045,6
CDnet2014,zoomInZoomOut,630,14,1052,1
CDnet2014,zoomInZoomOut,630,15,1054,4
CDnet2014,zoomInZoomOut,630,16,1060,1
CDnet2014,zoomInZoomOut,630,17,1062,2
CDnet2014,zoomInZoomOut,630,18,1066,1
CDnet2014,zoomInZoomOut,630,19,1068,1
CDnet2014,zoomInZoomOut,630,20,1074,1
CDnet2014,blizzard,6100,0,903,2
CDnet2014,blizzard,6100,1,907,5
CDnet2014,blizzard,6100,2,913,1
CDnet2014,blizzard,6100,3,915,2
CDnet2014,blizzard,6100,4,918,1
CDnet2014,blizzard,6100,5,920,57
CDnet2014,blizzard,6100,6,978,7
CDnet2014,blizzard,6100,7,986,588
CDnet2014,blizzard,6100,8,1576,5
CDnet2014,blizzard,6100,9,1584,2
CDnet2014,blizzard,6100,10,1592,1
CDnet2014,blizzard,6100,11,1596,1
CDnet2014,blizzard,6100,12,1598,2
CDnet2014,blizzard,6100,13,1603,2
CDnet2014,blizzard,6100,14,1608,3
CDnet2014,blizzard,6100,15,1615,1
CDnet2014,blizzard,6100,16,1620,7
CDnet2014,blizzard,6100,17,1630,1
CDnet2014,blizzard,6100,18,1634,5
CDnet2014,blizzard,6100,19,1640,1
CDnet2014,blizzard,6100,20,1642,3
CDnet2014,blizzard,6100,21,1646,1
CDnet2014,blizzard,6100,22,1675,1
CDnet2014,blizzard,6100,23,1692,1
CDnet2014,blizzard,6100,24,1699,1
CDnet2014,blizzard,6100,25,1712,2
CDnet2014,blizzard,6100,26,1717,1
CDnet2014,blizzard,6100,27,1720,4
CDnet2014,blizzard,6100,28,1725,6
CDnet2014,blizzard,6100,29,1734,2
CDnet2014,blizzard,6100,30,1737,103
CDnet2014,blizzard,6100,31,1848,149
CDnet2014,blizzard,6100,32,1998,4
CDnet2014,blizzard,6100,33,2007,118
CDnet2014,blizzard,6100,34,2128,1
CDnet2014,blizzard,6100,35,2141,1
CDnet2014,blizzard,6100,36,2143,1
CDnet2014,blizzard,6100,37,2145,1
CDnet2014,blizzard,6100,38,2147,1
CDnet2014,blizzard,6100,39,2150,2
CDnet2014,blizzard,6100,40,2153,1
CDnet2014,blizzard,6100,41,2155,1
CDnet2014,blizzard,6100,42,2157,3
CDnet2014,blizzard,6100,43,2164,1
CDnet2014,blizzard,6100,44,3050,174
CDnet2014,blizzard,6100,45,3225,1
CDnet2014,blizzard,6100,46,3227,1
CDnet2014,blizzard,6100,47,3229,2
CDnet2014,blizzard,6100,48,3234,2
CDnet2014,blizzard,6100,49,3237,238
CDnet2014,blizzard,6100,50,3478,2
CDnet2014,blizzard,6100,51,3481,15
CDnet2014,blizzard,6100,52,3523,1
CDnet2014,blizzard,6100,53,3525,2
CDnet2014,blizzard,6100,54,3528,15
CDnet2014,blizzard,6100,55,3544,9
CDnet2014,blizzard,6100,56,3554,7
CDnet2014,blizzard,6100,57,3570,1
CDnet2014,blizzard,6100,58,3572,1
CDnet2014,blizzard,6100,59,4271,1
CDnet2014,blizzard,6100,60,4273,17
CDnet2014,blizzard,6100,61,4291,34
CDnet2014,blizzard,6100,62,4328,1
CDnet2014,blizzard,6100,63,4330,1
CDnet2014,blizzard,6100,64,4579,2
CDnet2014,blizzard,6100,65,4582,70
CDnet2014,blizzard,6100,66,4796,1
CDnet2014,blizzard,6100,67,4799,146
CDnet2014,blizzard,6100,68,5160,109
CDnet2014,blizzard,6100,69,5270,57
CDnet2014,blizzard,6100,70,5452,19
CDnet2014,blizzard,6100,71,5472,23
CDnet2014,blizzard,6100,72,5496,1
CDnet2014,blizzard,6100,73,5498,24
CDnet2014,blizzard,6100,74,5523,4
CDnet2014,blizzard,6100,75,5528,2
CDnet2014,blizzard,6100,76,6121,1
CDnet2014,blizzard,6100,77,6123,3
CDnet2014,blizzard,6100,78,6127,66
CDnet2014,blizzard,6100,79,6194,3
CDnet2014,blizzard,6100,80,6268,53
CDnet2014,blizzard,6100,81,6322,1
CDnet2014,blizzard,6100,82,6380,72
CDnet2014,skating,3100,0,800,3100
CDnet2014,snowFall,5700,0,800,303
CDnet2014,snowFall,5700,1,1104,5
CDnet2014,snowFall,5700,2,1110,2
CDnet2014,snowFall,5700,3,1114,1
CDnet2014,snowFall,5700,4,1309,1
CDnet2014,snowFall,5700,5,1311,1
CDnet2014,snowFall,5700,6,1314,3
CDnet2014,snowFall,5700,7,1318,141
CDnet2014,snowFall,5700,8,2736,112
CDnet2014,snowFall,5700,9,2849,110
CDnet2014,snowFall,5700,10,2960,2
CDnet2014,snowFall,5700,11,3803,1
CDnet2014,snowFall,5700,12,3805,218
CDnet2014,snowFall,5700,13,4024,1
CDnet2014,snowFall,5700,14,4207,237
CDnet2014,snowFall,5700,15,4445,1
CDnet2014,snowFall,5700,16,4447,1
CDnet2014,snowFall,5700,17,4449,12
CDnet2014,snowFall,5700,18,4470,2
CDnet2014,snowFall,5700,19,4473,1
CDnet2014,snowFall,5700,20,4475,1
CDnet2014,snowFall,5700,21,5298,103
CDnet2014,snowFall,5700,22,5404,111
CDnet2014,snowFall,5700,23,5517,1
CDnet2014,snowFall,5700,24,5521,1
CDnet2014,snowFall,5700,25,5669,132
CDnet2014,snowFall,5700,26,5802,2
CDnet2014,snowFall,5700,27,5805,27
CDnet2014,snowFall,5700,28,5833,3
CDnet2014,snowFall,5700,29,5837,6
CDnet2014,snowFall,5700,30,5845,4
CDnet2014,snowFall,5700,31,6436,1
CDnet2014,snowFall,5700,32,6438,37
CDnet2014,snowFall,5700,33,6476,24
CDnet2014,wetSnow,3000,0,500,378
CDnet2014,wetSnow,3000,1,879,51
CDnet2014,wetSnow,3000,2,931,28
CDnet2014,wetSnow,3000,3,961,4
CDnet2014,wetSnow,3000,4,967,14
CDnet2014,wetSnow,3000,5,982,1
CDnet2014,wetSnow,3000,6,984,3
CDnet2014,wetSnow,3000,7,988,9
CDnet2014,wetSnow,3000,8,1000,11
CDnet2014,wetSnow,3000,9,1012,242
CDnet2014,wetSnow,3000,10,1255,3
CDnet2014,wetSnow,3000,11,1259,3
CDnet2014,wetSnow,3000,12,1264,4
CDnet2014,wetSnow,3000,13,1271,44
CDnet2014,wetSnow,3000,14,1316,23
CDnet2014,wetSnow,3000,15,1341,1
CDnet2014,wetSnow,3000,16,1344,7
CDnet2014,wetSnow,3000,17,1352,7
CDnet2014,wetSnow,3000,18,1360,21
CDnet2014,wetSnow,3000,19,1382,9
CDnet2014,wetSnow,3000,20,1397,1
CDnet2014,wetSnow,3000,21,1399,1
CDnet2014,wetSnow,3000,22,1404,1
CDnet2014,wetSnow,3000,23,1407,1
CDnet2014,wetSnow,3000,24,1412,1
CDnet2014,wetSnow,3000,25,1414,38
CDnet2014,wetSnow,3000,26,1454,2
CDnet2014,wetSnow,3000,27,1457,1
CDnet2014,wetSnow,3000,28,1459,54
CDnet2014,wetSnow,3000,29,1514,4
CDnet2014,wetSnow,3000,30,1520,44
CDnet2014,wetSnow,3000,31,1565,2
CDnet2014,wetSnow,3000,32,1568,1
CDnet2014,wetSnow,3000,33,1573,2
CDnet2014,wetSnow,3000,34,1576,1
CDnet2014,wetSnow,3000,35,1579,30
CDnet2014,wetSnow,3000,36,1610,2
CDnet2014,wetSnow,3000,37,1614,1
CDnet2014,wetSnow,3000,38,1616,11
CDnet2014,wetSnow,3000,39,1628,5
CDnet2014,wetSnow,3000,40,1635,127
CDnet2014,wetSnow,3000,41,1764,87
CDnet2014,wetSnow,3000,42,1852,158
CDnet2014,wetSnow,3000,43,2011,4
CDnet2014,wetSnow,3000,44,2017,12
CDnet2014,wetSnow,3000,45,2031,35
CDnet2014,wetSnow,3000,46,2069,1
CDnet2014,wetSnow,3000,47,2071,1
CDnet2014,wetSnow,3000,48,2074,1
CDnet2014,wetSnow,3000,49,2076,40
CDnet2014,wetSnow,3000,50,2117,632
CDnet2014,wetSnow,3000,51,2750,190
CDnet2014,wetSnow,3000,52,2941,143
CDnet2014,wetSnow,3000,53,3090,6
CDnet2014,wetSnow,3000,54,3097,4
CDnet2014,wetSnow,3000,55,3102,26
CDnet2014,wetSnow,3000,56,3129,274
CDnet2014,wetSnow,3000,57,3404,4
CDnet2014,wetSnow,3000,58,3409,91
CDnet2014,PETS2006,900,0,300,893
CDnet2014,PETS2006,900,1,1194,1
CDnet2014,PETS2006,900,2,1196,1
CDnet2014,highway,1230,0,474,5
CDnet2014,highway,1230,1,483,1
CDnet2014,highway,1230,2,485,3
CDnet2014,highway,1230,3,489,24
CDnet2014,highway,1230,4,514,1186
CDnet2014,office,1480,0,570,1480
CDnet2014,pedestrians,799,0,300,799
CDnet2014,badminton,350,0,800,18
CDnet2014,badminton,350,1,819,18
CDnet2014,badminton,350,2,838,312
CDnet2014,boulevard,1710,0,790,7
CDnet2014,boulevard,1710,1,798,5
CDnet2014,boulevard,1710,2,804,179
CDnet2014,boulevard,1710,3,984,1
CDnet2014,boulevard,1710,4,987,1
CDnet2014,boulevard,1710,5,990,2
CDnet2014,boulevard,1710,6,993,1
CDnet2014,boulevard,1710,7,995,1
CDnet2014,boulevard,1710,8,998,2
CDnet2014,boulevard,1710,9,1001,1
CDnet2014,boulevard,1710,10,1004,2
CDnet2014,boulevard,1710,11,1007,7
CDnet2014,boulevard,1710,12,1016,3
CDnet2014,boulevard,1710,13,1021,1
CDnet2014,boulevard,1710,14,1030,2
CDnet2014,boulevard,1710,15,1033,10
CDnet2014,boulevard,1710,16,1044,84
CDnet2014,boulevard,1710,17,1129,13
CDnet2014,boulevard,1710,18,1143,5
CDnet2014,boulevard,1710,19,1149,7
CDnet2014,boulevard,1710,20,1157,4
CDnet2014,boulevard,1710,21,1163,1
CDnet2014,boulevard,1710,22,1166,2
CDnet2014,boulevard,1710,23,1174,1
CDnet2014,boulevard,1710,24,1178,7
CDnet2014,boulevard,1710,25,1186,3
CDnet2014,boulevard,1710,26,1190,1
CDnet2014,boulevard,1710,27,1192,1
CDnet2014,boulevard,1710,28,1195,1
CDnet2014,boulevard,1710,29,1197,2
CDnet2014,boulevard,1710,30,1202,2
CDnet2014,boulevard,1710,31,1205,3
CDnet2014,boulevard,1710,32,1209,1
CDnet2014,boulevard,1710,33,1211,1
CDnet2014,boulevard,1710,34,1215,1
CDnet2014,boulevard,1710,35,1221,1
CDnet2014,boulevard,1710,36,1224,4
CDnet2014,boulevard,1710,37,1229,2
CDnet2014,boulevard,1710,38,1232,16
CDnet2014,boulevard,1710,39,1249,41
CDnet2014,boulevard,1710,40,1292,21
CDnet2014,boulevard,1710,41,1314,20
CDnet2014,boulevard,1710,42,1335,8
CDnet2014,boulevard,1710,43,1344,1
CDnet2014,boulevard,1710,44,1346,2
CDnet2014,boulevard,1710,45,1349,7
CDnet2014,boulevard,1710,46,1358,1
CDnet2014,boulevard,1710,47,1361,14
CDnet2014,boulevard,1710,48,1376,4
CDnet2014,boulevard,1710,49,1385,1
CDnet2014,boulevard,1710,50,1387,2
CDnet2014,boulevard,1710,51,1390,7
CDnet2014,boulevard,1710,52,1399,1
CDnet2014,boulevard,1710,53,1401,9
CDnet2014,boulevard,1710,54,1411,1
CDnet2014,boulevard,1710,55,1416,1
CDnet2014,boulevard,1710,56,1429,4
CDnet2014,boulevard,1710,57,1434,2
CDnet2014,boulevard,1710,58,1437,1
CDnet2014,boulevard,1710,59,1439,2
CDnet2014,boulevard,1710,60,1442,16
CDnet2014,boulevard,1710,61,1459,2
CDnet2014,boulevard,1710,62,1462,2
CDnet2014,boulevard,1710,63,1467,62
CDnet2014,boulevard,1710,64,1530,1
CDnet2014,boulevard,1710,65,1532,2
CDnet2014,boulevard,1710,66,1535,11
CDnet2014,boulevard,1710,67,1547,1
CDnet2014,boulevard,1710,68,1550,1
CDnet2014,boulevard,1710,69,1553,1
CDnet2014,boulevard,1710,70,1555,2
CDnet2014,boulevard,1710,71,1558,2
CDnet2014,boulevard,1710,72,1561,1
CDnet2014,boulevard,1710,73,1564,1
CDnet2014,boulevard,1710,74,1566,2
CDnet2014,boulevard,1710,75,1569,1
CDnet2014,boulevard,1710,76,1571,1
CDnet2014,boulevard,1710,77,1578,3
CDnet2014,boulevard,1710,78,1582,1
CDnet2014,boulevard,1710,79,1585,1
CDnet2014,boulevard,1710,80,1588,7
CDnet2014,boulevard,1710,81,1596,1
CDnet2014,boulevard,1710,82,1598,2
CDnet2014,boulevard,1710,83,1601,5
CDnet2014,boulevard,1710,84,1607,2
CDnet2014,boulevard,1710,85,1610,8
CDnet2014,boulevard,1710,86,1619,3
CDnet2014,boulevard,1710,87,1629,1
CDnet2014,boulevard,1710,88,1631,1
CDnet2014,boulevard,1710,89,1634,1
CDnet2014,boulevard,1710,90,1637,1
CDnet2014,boulevard,1710,91,1639,3
CDnet2014,boulevard,1710,92,1643,1
CDnet2014,boulevard,1710,93,1645,8
CDnet2014,boulevard,1710,94,1654,9
CDnet2014,boulevard,1710,95,1665,7
CDnet2014,boulevard,1710,96,1673,1
CDnet2014,boulevard,1710,97,1675,1
CDnet2014,boulevard,1710,98,1677,3
CDnet2014,boulevard,1710,99,1681,2
CDnet2014,boulevard,1710,100,1684,1
CDnet2014,boulevard,1710,101,1686,5
CDnet2014,boulevard,1710,102,1692,1
CDnet2014,boulevard,1710,103,1694,1
CDnet2014,boulevard,1710,104,1696,1
CDnet2014,boulevard,1710,105,1698,9
CDnet2014,boulevard,1710,106,1708,2
CDnet2014,boulevard,1710,107,1711,2
CDnet2014,boulevard,1710,108,1714,2
CDnet2014,boulevard,1710,109,1717,10
CDnet2014,boulevard,1710,110,1728,2
CDnet2014,boulevard,1710,111,1731,4
CDnet2014,boulevard,1710,112,1736,10
CDnet2014,boulevard,1710,113,1747,1
CDnet2014,boulevard,1710,114,1750,10
CDnet2014,boulevard,1710,115,1761,2
CDnet2014,boulevard,1710,116,1764,1
CDnet2014,boulevard,1710,117,1767,1
CDnet2014,boulevard,1710,118,1769,2
CDnet2014,boulevard,1710,119,1772,1
CDnet2014,boulevard,1710,120,1774,2
CDnet2014,boulevard,1710,121,1778,1
CDnet2014,boulevard,1710,122,1781,1
CDnet2014,boulevard,1710,123,1783,1
CDnet2014,boulevard,1710,124,1785,1
CDnet2014,boulevard,1710,125,1788,23
CDnet2014,boulevard,1710,126,1813,1
CDnet2014,boulevard,1710,127,1818,2
CDnet2014,boulevard,1710,128,1822,1
CDnet2014,boulevard,1710,129,1824,2
CDnet2014,boulevard,1710,130,1827,1
CDnet2014,boulevard,1710,131,1835,1
CDnet2014,boulevard,1710,132,1837,2
CDnet2014,boulevard,1710,133,1840,1
CDnet2014,boulevard,1710,134,1843,21
CDnet2014,boulevard,1710,135,1865,1
CDnet2014,boulevard,1710,136,1871,1
CDnet2014,boulevard,1710,137,1877,1
CDnet2014,boulevard,1710,138,1879,1
CDnet2014,boulevard,1710,139,1884,1
CDnet2014,boulevard,1710,140,1886,2
CDnet2014,boulevard,1710,141,1889,2
CDnet2014,boulevard,1710,142,1892,1
CDnet2014,boulevard,1710,143,1895,1
CDnet2014,boulevard,1710,144,1898,1
CDnet2014,boulevard,1710,145,1900,2
CDnet2014,boulevard,1710,146,1903,2
CDnet2014,boulevard,1710,147,1906,4
CDnet2014,boulevard,1710,148,1911,2
CDnet2014,boulevard,1710,149,1914,4
CDnet2014,boulevard,1710,150,1920,1
CDnet2014,boulevard,1710,151,1923,1
CDnet2014,boulevard,1710,152,1925,2
CDnet2014,boulevard,1710,153,1930,1
CDnet2014,boulevard,1710,154,1933,1
CDnet2014,boulevard,1710,155,1936,1
CDnet2014,boulevard,1710,156,1939,47
CDnet2014,boulevard,1710,157,1988,1
CDnet2014,boulevard,1710,158,1990,8
CDnet2014,boulevard,1710,159,1999,9
CDnet2014,boulevard,1710,160,2009,2
CDnet2014,boulevard,1710,161,2013,1
CDnet2014,boulevard,1710,162,2015,2
CDnet2014,boulevard,1710,163,2018,2
CDnet2014,boulevard,1710,164,2027,2
CDnet2014,boulevard,1710,165,2030,1
CDnet2014,boulevard,1710,166,2032,6
CDnet2014,boulevard,1710,167,2039,5
CDnet2014,boulevard,1710,168,2045,7
CDnet2014,boulevard,1710,169,2053,1
CDnet2014,boulevard,1710,170,2055,3
CDnet2014,boulevard,1710,171,2059,4
CDnet2014,boulevard,1710,172,2064,4
CDnet2014,boulevard,1710,173,2070,1
CDnet2014,boulevard,1710,174,2072,5
CDnet2014,boulevard,1710,175,2080,1
CDnet2014,boulevard,1710,176,2082,2
CDnet2014,boulevard,1710,177,2085,4
CDnet2014,boulevard,1710,178,2090,90
CDnet2014,boulevard,1710,179,2181,4
CDnet2014,boulevard,1710,180,2186,1
CDnet2014,boulevard,1710,181,2188,2
CDnet2014,boulevard,1710,182,2191,2
CDnet2014,boulevard,1710,183,2194,2
CDnet2014,boulevard,1710,184,2197,1
CDnet2014,boulevard,1710,185,2200,2
CDnet2014,boulevard,1710,186,2203,1
CDnet2014,boulevard,1710,187,2206,54
CDnet2014,boulevard,1710,188,2261,4
CDnet2014,boulevard,1710,189,2266,76
CDnet2014,boulevard,1710,190,2345,1
CDnet2014,boulevard,1710,191,2348,1
CDnet2014,boulevard,1710,192,2354,6
CDnet2014,boulevard,1710,193,2362,1
CDnet2014,boulevard,1710,194,2364,2
CDnet2014,boulevard,1710,195,2368,1
CDnet2014,boulevard,1710,196,2371,2
CDnet2014,boulevard,1710,197,2374,1
CDnet2014,boulevard,1710,198,2377,1
CDnet2014,boulevard,1710,199,2380,1
CDnet2014,boulevard,1710,200,2382,2
CDnet2014,boulevard,1710,201,2385,78
CDnet2014,boulevard,1710,202,2466,34
CDnet2014,sidewalk,400,0,800,198
CDnet2014,sidewalk,400,1,999,3
CDnet2014,sidewalk,400,2,1003,197
CDnet2014,traffic,670,0,940,1
CDnet2014,traffic,670,1,944,1
CDnet2014,traffic,670,2,946,1
CDnet2014,traffic,670,3,954,1
CDnet2014,traffic,670,4,956,3
CDnet2014,traffic,670,5,961,16
CDnet2014,traffic,670,6,979,3
CDnet2014,traffic,670,7,989,10
CDnet2014,traffic,670,8,1000,5
CDnet2014,traffic,670,9,1006,4
CDnet2014,traffic,670,10,1024,1
CDnet2014,traffic,670,11,1026,1
CDnet2014,traffic,670,12,1028,3
CDnet2014,traffic,670,13,1034,3
CDnet2014,traffic,670,14,1038,2
CDnet2014,traffic,670,15,1042,2
CDnet2014,traffic,670,16,1045,1
CDnet2014,traffic,670,17,1056,2
CDnet2014,traffic,670,18,1061,18
CDnet2014,traffic,670,19,1080,1
CDnet2014,traffic,670,20,1082,1
CDnet2014,traffic,670,21,1089,3
CDnet2014,traffic,670,22,1097,1
CDnet2014,traffic,670,23,1099,1
CDnet2014,traffic,670,24,1101,1
CDnet2014,traffic,670,25,1104,18
CDnet2014,traffic,670,26,1128,1
CDnet2014,traffic,670,27,1137,2
CDnet2014,traffic,670,28,1141,1
CDnet2014,traffic,670,29,1143,1
CDnet2014,traffic,670,30,1146,4
CDnet2014,traffic,670,31,1152,4
CDnet2014,traffic,670,32,1157,3
CDnet2014,traffic,670,33,1164,1
CDnet2014,traffic,670,34,1170,4
CDnet2014,traffic,670,35,1175,3
CDnet2014,traffic,670,36,1179,3
CDnet2014,traffic,670,37,1184,1
CDnet2014,traffic,670,38,1186,1
CDnet2014,traffic,670,39,1188,1
CDnet2014,traffic,670,40,1192,1
CDnet2014,traffic,670,41,1198,7
CDnet2014,traffic,670,42,1206,5
CDnet2014,traffic,670,43,1212,3
CDnet2014,traffic,670,44,1216,3
CDnet2014,traffic,670,45,1221,3
CDnet2014,traffic,670,46,1235,30
CDnet2014,traffic,670,47,1267,1
CDnet2014,traffic,670,48,1278,1
CDnet2014,traffic,670,49,1282,1
CDnet2014,traffic,670,50,1284,2
CDnet2014,traffic,670,51,1287,7
CDnet2014,traffic,670,52,1295,10
CDnet2014,traffic,670,53,1306,4
CDnet2014,traffic,670,54,1322,1
CDnet2014,traffic,670,55,1324,1
CDnet2014,traffic,670,56,1326,2
CDnet2014,traffic,670,57,1330,1
CDnet2014,traffic,670,58,1334,3
CDnet2014,traffic,670,59,1338,16
CDnet2014,traffic,670,60,1357,1
CDnet2014,traffic,670,61,1359,1
CDnet2014,traffic,670,62,1365,1
CDnet2014,traffic,670,63,1369,2
CDnet2014,traffic,670,64,1372,2
CDnet2014,traffic,670,65,1375,2
CDnet2014,traffic,670,66,1379,7
CDnet2014,traffic,670,67,1387,5
CDnet2014,traffic,670,68,1394,1
CDnet2014,traffic,670,69,1402,1
CDnet2014,traffic,670,70,1410,4
CDnet2014,traffic,670,71,1415,11
CDnet2014,traffic,670,72,1427,1
CDnet2014,traffic,670,73,1429,1
CDnet2014,traffic,670,74,1432,1
CDnet2014,traffic,670,75,1434,1
CDnet2014,traffic,670,76,1441,1
CDnet2014,traffic,670,77,1445,2
CDnet2014,traffic,670,78,1448,1
CDnet2014,traffic,670,79,1452,5
CDnet2014,traffic,670,80,1458,3
CDnet2014,traffic,670,81,1464,1
CDnet2014,traffic,670,82,1474,1
CDnet2014,traffic,670,83,1478,3
CDnet2014,traffic,670,84,1482,2
CDnet2014,traffic,670,85,1485,10
CDnet2014,traffic,670,86,1496,3
CDnet2014,traffic,670,87,1500,2
CDnet2014,traffic,670,88,1503,1
CDnet2014,traffic,670,89,1514,1
CDnet2014,traffic,670,90,1517,1
CDnet2014,traffic,670,91,1520,2
CDnet2014,traffic,670,92,1523,39
CDnet2014,boats,6099,0,1900,18
CDnet2014,boats,6099,1,1919,6
CDnet2014,boats,6099,2,1927,4
CDnet2014,boats,6099,3,1933,1
